[ 1667.435826] loop_size:71 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.436196] loop_size:72 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.436565] loop_size:73 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.436935] loop_size:74 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.437325] loop_size:75 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.437695] loop_size:76 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[ 1667.438062] loop_size:77 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.438433] loop_size:78 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.438804] loop_size:79 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.439174] loop_size:80 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.439544] loop_size:81 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[ 1667.439916] loop_size:82 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.440285] loop_size:83 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.440656] loop_size:84 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[ 1667.441041] loop_size:85 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.441412] loop_size:86 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.441781] loop_size:87 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.442152] loop_size:88 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.442520] loop_size:89 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.442889] loop_size:90 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.443259] loop_size:91 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.443631] loop_size:92 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.444002] loop_size:93 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.444373] loop_size:94 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[ 1667.444743] loop_size:95 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.445129] loop_size:96 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.445500] loop_size:97 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.445871] loop_size:98 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.446240] loop_size:99 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.446612] loop_size:100 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.446981] loop_size:101 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.447350] loop_size:102 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.447721] loop_size:103 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.448092] loop_size:104 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.448463] loop_size:105 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.448835] loop_size:106 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.449217] loop_size:107 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.449587] loop_size:108 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.449956] loop_size:109 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.450325] loop_size:110 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.450695] loop_size:111 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.451066] loop_size:112 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.451437] loop_size:113 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.451812] loop_size:114 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.452185] loop_size:115 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.452555] loop_size:116 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.452924] loop_size:117 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.453314] loop_size:118 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.453685] loop_size:119 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.454054] loop_size:120 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.454424] loop_size:121 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.454790] loop_size:122 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.455158] loop_size:123 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.455528] loop_size:124 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.455900] loop_size:125 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.456271] loop_size:126 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.456641] loop_size:127 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.457024] loop_size:128 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.457400] loop_size:129 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.457770] loop_size:130 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.458140] loop_size:131 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.458509] loop_size:132 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.458877] loop_size:133 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.459247] loop_size:134 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.459620] loop_size:135 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.459992] loop_size:136 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.460361] loop_size:137 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.460731] loop_size:138 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.461113] loop_size:139 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
