[  119.224015] loop_size:74 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.224387] loop_size:75 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.224758] loop_size:76 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.225124] loop_size:77 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.225495] loop_size:78 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.225884] loop_size:79 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.226256] loop_size:80 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.226625] loop_size:81 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.226997] loop_size:82 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.227366] loop_size:83 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.227735] loop_size:84 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.228107] loop_size:85 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.228479] loop_size:86 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.228851] loop_size:87 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.229223] loop_size:88 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.229607] loop_size:89 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.229977] loop_size:90 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.230348] loop_size:91 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.230719] loop_size:92 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.231088] loop_size:93 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.231456] loop_size:94 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.231826] loop_size:95 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.232201] loop_size:96 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.232571] loop_size:97 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.232940] loop_size:98 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.233306] loop_size:99 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.233688] loop_size:100 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.234058] loop_size:101 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.234427] loop_size:102 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.234796] loop_size:103 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.235168] loop_size:104 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.235537] loop_size:105 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.235907] loop_size:106 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.236277] loop_size:107 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.236651] loop_size:108 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.237020] loop_size:109 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.237391] loop_size:110 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.237777] loop_size:111 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.238149] loop_size:112 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.238520] loop_size:113 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.238892] loop_size:114 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.239260] loop_size:115 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.239630] loop_size:116 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.239999] loop_size:117 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.240371] loop_size:118 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.240743] loop_size:119 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.241112] loop_size:120 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.241481] loop_size:121 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
